n,tau,k_intensity,k_rate,tau_grid,ke_tau_prod_grid,sr_tau_prod_grid,swim_speed_err,omr_ratio_err,ssbf_ratio_err,bout_rate_err,bout_dist_err,bout_init_speed_err,num_conditions_np,num_valid_conditions_np
16,0.071,190.3098591549296,35420.67605633803,0.071,13.512,2514.868,1.5233882997208776,0.21733168458632152,8.505502121486893,1.876629644545516,2.8299503652116775,11.020562874565654,29,28
17,0.071,190.3098591549296,50092.394366197186,0.071,13.512,3556.56,1.533155834057043,0.2165026740287698,8.504148900346202,1.8739707655399345,2.8245541344739804,10.985002695313364,29,28
18,0.071,190.3098591549296,70841.33802816902,0.071,13.512,5029.735,1.5305591340276514,0.21552424940726472,8.502558164835893,1.8719685594020419,2.818043809019686,10.948924710079462,29,28
19,0.071,190.3098591549296,100184.78873239437,0.071,13.512,7113.12,1.5268303833016723,0.21570058734022282,8.502844346764174,1.8702366617215567,2.809725311718646,10.904666788180041,29,28
20,0.071,250.4647887323944,25046.197183098593,0.071,17.783,1778.28,0.973959954320922,0.1493300312386167,5.328149495187583,1.8834246387796485,2.414237729245307,9.00347448802187,29,29
21,0.071,250.4647887323944,35420.67605633803,0.071,17.783,2514.868,0.967102102642146,0.14895483485253616,5.255246899566421,1.8965376460681211,2.411095768140532,8.953504837575167,29,29
22,0.071,250.4647887323944,50092.394366197186,0.071,17.783,3556.56,0.9582859634118726,0.14770725753411587,5.252992781538129,1.8962634382749006,2.4169979705725857,8.963223838728018,29,29
23,0.071,250.4647887323944,70841.33802816902,0.071,17.783,5029.735,0.965002259659636,0.14783877435018106,5.253229642903607,1.895757406431775,2.417648655250066,8.96206385349848,29,29
24,0.071,250.4647887323944,100184.78873239437,0.071,17.783,7113.12,0.9755097152015307,0.147802762884066,5.2531649021768825,1.895754446559153,2.4242910990824695,9.003809693357466,29,29
25,0.071,329.63380281690144,25046.197183098593,0.071,23.404,1778.28,2.0054366436718802,0.22878062612707128,4.927946910778456,1.8310858360389817,2.265314680255878,7.835461033134942,29,29
