n,k_rate,tau_motor,tau_intensity,k_motor,kf_intensity,kb_intensity,fgain_intensity_grid,gain_motor_grid,k_rate_grid,tau_motor_grid,tau_intensity_grid,kb_kf_intensity_ratio_grid,swim_speed_err,omr_ratio_err,ssbf_ratio_err,bout_rate_err,bout_dist_err,bout_init_speed_err,num_conditions_np,num_valid_conditions_np
30,231.1044,0.7263,0.1394,0.01968883381522787,267.0057388809182,0.0,37.2206,0.0143,231.1044,0.7263,0.1394,0.0,1.4218948150612194,0.1742651871460958,6.293138373719684,0.2753162105019906,1.2919774685356866,5.134081221708138,29,29
31,231.1044,0.7263,0.1394,0.01968883381522787,267.0057388809182,0.18369994835007172,37.2206,0.0143,231.1044,0.7263,0.1394,0.000688,1.4325163548746818,0.17521296839633602,6.290928260637462,0.2745394182262081,1.295312711769912,5.158307748496511,29,29
32,231.1044,0.7263,0.1394,0.01968883381522787,267.0057388809182,0.36713289096126256,37.2206,0.0143,231.1044,0.7263,0.1394,0.001375,1.4372453329866548,0.17653991606374073,6.324264779106937,0.27585051480409506,1.2987703327305307,5.177267139995851,29,29
33,231.1044,0.7263,0.1394,0.01968883381522787,267.0057388809182,0.5500318220946916,37.2206,0.0143,231.1044,0.7263,0.1394,0.00206,1.447938439245051,0.17764884542971018,6.322672744903474,0.276356314655951,1.3029242146540128,5.2019629667502585,29,29
34,231.1044,0.7263,0.1394,0.01968883381522787,267.0057388809182,0.7342657819225251,37.2206,0.0143,231.1044,0.7263,0.1394,0.00275,1.4471040082958335,0.17765977699332952,6.310235303899981,0.27619332841432304,1.3044995168983582,5.212546059350491,29,29
35,231.1044,0.7263,0.152,0.01968883381522787,244.8723684210526,0.0,37.2206,0.0143,231.1044,0.7263,0.152,0.0,1.3349646365729324,0.16999480279606186,6.3722378082146385,0.2726909518490287,1.2576036197147362,4.937250396026903,29,29
36,231.1044,0.7263,0.152,0.01968883381522787,244.8723684210526,0.1684721894736842,37.2206,0.0143,231.1044,0.7263,0.152,0.000688,1.344436446832675,0.17073433776446567,6.377221019627954,0.2731239134680465,1.2615103011649738,4.958772443946138,29,29
37,231.1044,0.7263,0.152,0.01968883381522787,244.8723684210526,0.33669950657894737,37.2206,0.0143,231.1044,0.7263,0.152,0.001375,1.348077322351074,0.171013397682957,6.379325886395487,0.2747887256135745,1.2679038404294045,4.989436593729627,29,29
38,231.1044,0.7263,0.152,0.01968883381522787,244.8723684210526,0.5044370789473684,37.2206,0.0143,231.1044,0.7263,0.152,0.00206,1.355721843167145,0.17193846637308607,6.392405879019116,0.2745581405643716,1.2677735903477385,4.993150455152918,29,29
39,231.1044,0.7263,0.152,0.01968883381522787,244.8723684210526,0.6733990131578947,37.2206,0.0143,231.1044,0.7263,0.152,0.00275,1.3684378665585115,0.17314165309328777,6.395157384559361,0.2740240244821123,1.270009496258776,5.01270059220384,29,29
