n,k_rate,tau_motor,tau_intensity,k_motor,kf_intensity,fgain_intensity_grid,gain_motor_grid,k_rate_grid,tau_motor_grid,tau_intensity_grid,swim_speed_err,omr_ratio_err,ssbf_ratio_err,bout_rate_err,bout_dist_err,bout_init_speed_err,num_conditions_np,num_valid_conditions_np
56,274.831,0.7263,0.1394,0.01968883381522787,267.0057388809182,37.2206,0.0143,274.831,0.7263,0.1394,1.5027721540827916,0.18646896103918206,6.491264890810916,0.32595970413568703,1.4040419203767278,5.625268062437939,29,29
57,274.831,0.7263,0.152,0.01968883381522787,244.8723684210526,37.2206,0.0143,274.831,0.7263,0.152,1.3968573846324759,0.17957240067628633,6.552095461480819,0.323289637914961,1.365090473591565,5.396879233621604,29,29
58,274.831,0.7263,0.1658,0.01968883381522787,224.4909529553679,37.2206,0.0143,274.831,0.7263,0.1658,1.2953631095805542,0.1730145854893598,6.566331118617496,0.3203670843156317,1.321611746561337,5.161200843209295,29,29
59,274.831,0.7263,0.1808,0.01968883381522787,205.86615044247787,37.2206,0.0143,274.831,0.7263,0.1808,1.2126366410752458,0.16754348843249903,6.553630216318185,0.31365745503016557,1.274408282639478,4.922881733552143,29,29
60,274.831,0.792,0.1278,0.018055555555555554,291.24100156494524,37.2206,0.0143,274.831,0.792,0.1278,1.584421366916933,0.19164322138144824,6.374688556092323,0.3250466729180539,1.4271833237519171,5.779543708504945,29,29
61,274.831,0.792,0.1394,0.018055555555555554,267.0057388809182,37.2206,0.0143,274.831,0.792,0.1394,1.4945666843977279,0.18562308711634903,6.489492012804927,0.32058664908465534,1.3937537991072904,5.58211076950153,29,29
62,274.831,0.792,0.152,0.018055555555555554,244.8723684210526,37.2206,0.0143,274.831,0.792,0.152,1.3953942300835163,0.17895689332671347,6.531838586921331,0.3188882935014641,1.3558538484892402,5.361933289284222,29,29
63,274.831,0.792,0.1658,0.018055555555555554,224.4909529553679,37.2206,0.0143,274.831,0.792,0.1658,1.2846602007084749,0.17210234301031554,6.546246046950022,0.3132319212803556,1.3081998371101526,5.105484656805821,29,29
64,274.831,0.792,0.1808,0.018055555555555554,205.86615044247787,37.2206,0.0143,274.831,0.792,0.1808,1.2099463062829607,0.1667967416251793,6.533526878087041,0.30893459860986133,1.2656318126554778,4.884735383260134,29,29
65,274.831,0.8637,0.1278,0.016556674771332637,291.24100156494524,37.2206,0.0143,274.831,0.8637,0.1278,1.580021320596461,0.1907569087950936,6.343592662166272,0.3172157802356397,1.4131388358914754,5.722361822815436,29,29
66,274.831,0.8637,0.1394,0.016556674771332637,267.0057388809182,37.2206,0.0143,274.831,0.8637,0.1394,1.492207171893331,0.18506782856982304,6.4679000754846765,0.3162104886790326,1.3884880256735996,5.560160158349503,29,29
67,274.831,0.8637,0.152,0.016556674771332637,244.8723684210526,37.2206,0.0143,274.831,0.8637,0.152,1.3885367864949594,0.17781737032777598,6.505008232936695,0.3116964080784274,1.3455616606463123,5.318149948774622,29,29
