n,k_rate,tau_motor,tau_intensity,k_motor,k_intensity,gain_intensity_grid,gain_motor_grid,k_rate_grid,tau_motor_grid,tau_intensity_grid,swim_speed_err,omr_ratio_err,ssbf_ratio_err,bout_rate_err,bout_dist_err,bout_init_speed_err,num_conditions_np,num_valid_conditions_np
23,649.9574,0.4103,0.026,0.06214964660004874,812.4038461538462,21.1225,0.0255,649.9574,0.4103,0.026,1.9210630932147528,0.23372745230781572,9.721417272081327,0.39422435993732546,1.8171131942484606,7.168779948131808,29,29
24,649.9574,0.4103,0.0283,0.06214964660004874,746.3780918727915,21.1225,0.0255,649.9574,0.4103,0.0283,2.0152813839774697,0.24259383128908907,10.01741511725103,0.42415477927932604,1.9372762517008844,7.597310544272314,29,29
25,708.7836,0.2901,0.02,0.08790072388831437,1056.125,21.1225,0.0255,708.7836,0.2901,0.02,1.8897586354207978,0.2328887280425224,9.410807562585742,0.4503847080708402,1.8537188799239395,7.50829180937911,29,29
26,708.7836,0.2901,0.0218,0.08790072388831437,968.9220183486239,21.1225,0.0255,708.7836,0.2901,0.0218,1.9172926632716671,0.23544786938666773,9.632584057027426,0.46330097915034113,1.8879863955954677,7.572579865916358,29,29
27,708.7836,0.2901,0.0238,0.08790072388831437,887.4999999999999,21.1225,0.0255,708.7836,0.2901,0.0238,1.9884396228730463,0.24308536993919425,9.89748960361914,0.4830317268678005,1.9459592287599248,7.721643689670285,29,29
28,708.7836,0.2901,0.026,0.08790072388831437,812.4038461538462,21.1225,0.0255,708.7836,0.2901,0.026,2.0733430868241967,0.25148329058457475,10.171968358418061,0.5061322852988436,2.0578446509467194,8.08958082169286,29,29
29,708.7836,0.2901,0.0283,0.08790072388831437,746.3780918727915,21.1225,0.0255,708.7836,0.2901,0.0283,2.164080847087712,0.26286983152115106,10.402933060983413,0.541910627244889,2.3054409782933467,9.063403282755063,29,29
30,708.7836,0.3164,0.02,0.08059418457648546,1056.125,21.1225,0.0255,708.7836,0.3164,0.02,1.8569135713137808,0.2305847333457861,9.28866888768551,0.42482442759815187,1.7990714008176807,7.290031379487503,29,29
31,708.7836,0.3164,0.0218,0.08059418457648546,968.9220183486239,21.1225,0.0255,708.7836,0.3164,0.0218,1.8858399047596612,0.23169300643338178,9.523672934886278,0.43893916030579033,1.8391528182135217,7.385926676288616,29,29
32,708.7836,0.3164,0.0238,0.08059418457648546,887.4999999999999,21.1225,0.0255,708.7836,0.3164,0.0238,1.950518161206705,0.23780276289933405,9.78576857791626,0.4568774524372975,1.8988070458426096,7.541242827593616,29,29
