n,tau,k_rate,gain_rate_grid,tau_grid,swim_speed_err,omr_ratio_err,ssbf_ratio_err,bout_rate_err,bout_dist_err,bout_init_speed_err,num_conditions_np,num_valid_conditions_np
0,0.01,25.0,25.0,0.01,1.0763543027489422,0.17863441834572824,6.133787508246543,0.3168336095271394,0.33600126560258387,0.5680147680533586,29,29
1,0.02,1250.0,25.0,0.02,1.1807880139748674,0.189394767569535,6.23688522833806,0.33389725036579265,0.3445941735656929,0.5680147680533586,29,29
2,0.03,833.3333333333334,25.0,0.03,1.2849787392622931,0.20186652241651915,6.5263023034535435,0.35473789370508,0.3509280350737434,0.5680147680533586,29,29
3,0.04,625.0,25.0,0.04,1.345041208251497,0.21227816390118165,6.715290639760792,0.36660688614225995,0.3493199735769092,0.5680147680533586,29,29
4,0.05,500.0,25.0,0.05,1.4397801719042982,0.2261226129282187,7.060091948238927,0.3863353576410249,0.3492252112369294,0.5680147680533586,29,29
5,0.06,416.6666666666667,25.0,0.06,1.5318444054158313,0.23741104633505547,7.276560120998908,0.40173061702920293,0.3477169320140575,0.5680147680533586,29,29
6,0.07,357.1428571428571,25.0,0.07,1.5987522564462464,0.24746924867372497,7.513476126331713,0.4146099197371303,0.3444606336663543,0.5680147680533586,29,29
7,0.01,31.498,31.498,0.01,0.8145763766180893,0.13106647971062765,4.3842082205912885,0.24755836907172768,0.3472968260745693,0.5680147680533585,29,29
8,0.02,1574.9,31.498,0.02,0.93271095238284,0.14452817774738272,4.604489377006122,0.265844742770377,0.35583279035451315,0.5680147680533586,29,29
9,0.03,1049.9333333333334,31.498,0.03,1.0310158549743103,0.1574441256479264,4.9392718400591855,0.28629631985261633,0.36485199137887453,0.5680147680533586,29,29
10,0.04,787.45,31.498,0.04,1.0988385850479707,0.1684850611897845,5.156691845085108,0.30254527011881377,0.36254376699633484,0.5680147680533586,29,29
11,0.05,629.96,31.498,0.05,1.1614317952118096,0.17979670631696906,5.343536574451784,0.3131079294576468,0.3593293016794822,0.5680147680533586,29,29
12,0.06,524.9666666666667,31.498,0.06,1.2446966031884212,0.19203040379341935,5.603759705922142,0.33115736613261787,0.36055955321261984,0.5680147680533586,29,29
13,0.07,449.97142857142853,31.498,0.07,1.299479536674436,0.20359640168243115,5.922327583739807,0.3438243276264513,0.3577362025062469,0.5680147680533586,29,29
14,0.01,39.685,39.685,0.01,0.7073776621527348,0.09423141358515648,3.1892921892530404,0.20374203837402594,0.35799369927684066,0.568014768053358,29,29
15,0.02,1984.25,39.685,0.02,0.7996929532848265,0.10586517563755626,3.304659546625932,0.22237519420829766,0.3688890802878983,0.568014768053358,29,29
