n,tau,tau_motor,k_rate,k_motor,gain_rate_grid,tau_grid,gain_motor_grid,tau_motor_grid,swim_speed_err,omr_ratio_err,ssbf_ratio_err,bout_rate_err,bout_dist_err,bout_init_speed_err,num_conditions_np,num_valid_conditions_np
59,0.04,0.224,17677.675,0.20089285714285712,707.107,0.04,0.045,0.224,5.556868234447312,0.6295864406003724,17.38799486456605,1.0817123498261954,0.5321972134572555,0.5680147680533572,29,29
60,0.04,0.056,17677.675,1.1428571428571428,707.107,0.04,0.064,0.056,4.581656313798173,0.512627273184427,13.217624065352112,0.9061816970277251,0.5327108574967965,0.5680147680533572,29,29
61,0.04,0.079,17677.675,0.810126582278481,707.107,0.04,0.064,0.079,4.79808826231434,0.5323996641305653,14.08246663700073,0.9364021982061722,0.5326067114694962,0.5680147680533572,29,29
62,0.04,0.112,17677.675,0.5714285714285714,707.107,0.04,0.064,0.112,4.984938190480031,0.5560686387097405,14.932727724478612,0.9772419590144444,0.5325679715983342,0.5680147680533572,29,29
63,0.04,0.158,17677.675,0.4050632911392405,707.107,0.04,0.064,0.158,5.305486142586329,0.5987948717404907,16.213758692549835,1.0336524922962895,0.5323595049449039,0.5680147680533572,29,29
64,0.04,0.224,17677.675,0.2857142857142857,707.107,0.04,0.064,0.224,5.732091728212626,0.6553895928139976,18.055147385405874,1.1171010655036588,0.5321079856845734,0.5680147680533572,29,29
65,0.04,0.056,17677.675,1.625,707.107,0.04,0.091,0.056,4.732741908270146,0.5232515136430026,13.610200245770196,0.9206150183015551,0.5326570028325507,0.5680147680533572,29,29
66,0.04,0.079,17677.675,1.1518987341772151,707.107,0.04,0.091,0.079,4.871086846499191,0.5420008776302958,14.355030806402464,0.9558012633471022,0.532628239728368,0.5680147680533572,29,29
67,0.04,0.112,17677.675,0.8125,707.107,0.04,0.091,0.112,5.090829215717492,0.5775029950370377,15.40359947558526,1.0015899054878197,0.5324877446713283,0.5680147680533572,29,29
68,0.04,0.158,17677.675,0.5759493670886076,707.107,0.04,0.091,0.158,5.472668345697262,0.619705737774587,16.765880179623437,1.0631526643169111,0.5322461955709087,0.5680147680533572,29,29
69,0.04,0.224,17677.675,0.40625,707.107,0.04,0.091,0.224,5.9618793348266275,0.6804674911712825,18.702222568763847,1.1513310455835974,0.5319172274437888,0.5680147680533572,29,29
70,0.04,0.056,17677.675,2.2857142857142856,707.107,0.04,0.128,0.056,4.7367741702193875,0.5288958113639125,13.851235543315404,0.9341224831774733,0.5326167048183268,0.5680147680533572,29,29
71,0.04,0.079,17677.675,1.620253164556962,707.107,0.04,0.128,0.079,4.995660390159718,0.5613969082176602,14.706360503461463,0.9735711180894335,0.5325302993314285,0.5680147680533572,29,29
72,0.04,0.112,17677.675,1.1428571428571428,707.107,0.04,0.128,0.112,5.2558866353535505,0.5944805603369011,15.839152857632882,1.023476550283688,0.5323833343444726,0.5680147680533572,29,29
73,0.04,0.158,17677.675,0.810126582278481,707.107,0.04,0.128,0.158,5.589478690505262,0.6383924891567355,17.29807048224017,1.088949641096014,0.5321917678903273,0.5680147680533572,29,29
74,0.04,0.224,17677.675,0.5714285714285714,707.107,0.04,0.128,0.224,6.090413708841874,0.7010571450246207,19.239367795626944,1.1825017736895662,0.5317858738960426,0.5680147680533572,29,29
75,0.08,0.056,8838.8375,0.5714285714285714,707.107,0.08,0.032,0.056,3.795624367275909,0.3963878137642001,11.988565133009756,0.7655561231362467,0.4237368349172796,0.5680147680533576,29,29
76,0.08,0.079,8838.8375,0.4050632911392405,707.107,0.08,0.032,0.079,3.9011659048898473,0.4082435386936232,12.342483199884663,0.7823332924992836,0.4309186744813987,0.5680147680533576,29,29
77,0.08,0.112,8838.8375,0.2857142857142857,707.107,0.08,0.032,0.112,4.005481678654512,0.4283560532185391,12.807777416497695,0.8119058879850308,0.447739600764122,0.5680147680533576,29,29
78,0.08,0.158,8838.8375,0.20253164556962025,707.107,0.08,0.032,0.158,4.270481296224498,0.4685144622891354,13.60509074994952,0.8651656696706574,0.4793274379569338,0.5680147680533572,29,29
79,0.08,0.224,8838.8375,0.14285714285714285,707.107,0.08,0.032,0.224,4.771770586304672,0.5284755928430741,15.115050487739424,0.946252008321859,0.5220650945087065,0.5680147680533572,29,29
80,0.08,0.056,8838.8375,0.8035714285714285,707.107,0.08,0.045,0.056,4.12999314602028,0.45061982141286266,12.342088720619461,0.8269659891834317,0.4788160013755573,0.5680147680533572,29,29
81,0.08,0.079,8838.8375,0.5696202531645569,707.107,0.08,0.045,0.079,4.224770869455603,0.463066047369847,12.73887512329429,0.8458743831677239,0.485794243244588,0.5680147680533572,29,29
